Run Number,X-ray Energy,Quad_0_rot,Quad_1_rot,Quad_2_rot,Quad_3_rot
655,17236.3,,,,
654,17236.3,,,,
653,17236.2,,,,
652,17236.4,,,,
651,17236.1,,,,
650,17236.2,,,,
649,17236.2,,,,
648,17236.3,,,,
647,17236.3,,,,
646,17236.1,,,,
645,17235.9,,,,
644,17236.3,,,,
643,17236.2,,,,
642,17236.3,,,,
641,17236.1,,,,
640,17236.1,,,,
639,17205.8,,,,
638,17206.5,,,,
637,17203.2,,,,
636,17203.5,,,,
635,17206.2,,,,
634,17203,,,,
633,17205.9,,,,
632,17207.6,,,,
631,17206.1,,,,
630,17204.8,,,,
629,17209.8,,,,
628,17209.1,,,,
627,17207.8,,,,
626,17206.8,,,,
625,17204,,,,
624,17205.2,,,,
623,17203.6,,,,
622,17206.9,,,,
621,17206.7,,,,
620,17206.2,,,,
619,17206.2,,,,
618,17208.1,,,,
617,17205.7,,,,
616,17207.1,,,,
615,17204.3,,,,
614,17207.2,,,,
613,17206.7,,,,
612,17205.3,,,,
611,17203.3,,,,
610,17206.3,,,,
609,17205.2,,,,
608,17204,,,,
607,17206.4,,,,
606,17208.1,,,,
605,17206.6,,,,
604,17201.1,,,,
603,17205.8,,,,
602,17204.1,,,,
601,17209.7,,,,
600,17208.7,,,,
599,17204.1,,,,
598,17203.9,,,,
597,17204.9,,,,
596,17205.8,,,,
595,17204.9,,,,
594,17204.2,,,,
593,17206.9,,,,
592,17206.5,,,,
591,17205.3,,,,
590,17203.5,,,,
589,17206.8,,,,
588,17205.7,,,,
587,17205.4,,,,
586,17207.9,,,,
585,17207.7,,,,
584,17204.4,,,,
583,17200,,,,
582,17208.1,,,,
581,17202,,,,
580,17205.5,,,,
579,17197.7,,,,
578,17199.8,,,,
577,17193.2,,,,
576,17196.3,,,,
575,17193,,,,
574,17192.5,,,,
573,17198.1,,,,
572,17196.3,,,,
571,17198.1,,,,
570,17196.2,,,,
569,17197.9,,,,
568,17194.3,,,,
567,17197.5,,,,
566,17198,,,,
565,17196.5,,,,
564,17196.7,,,,
563,17197.1,,,,
562,17197.4,,,,
561,17195.5,,,,
560,17197.4,,,,
559,17193.5,,,,
558,17197.6,,,,
557,17198,,,,
556,17197.1,,,,
555,17197.2,,,,
554,17194.3,,,,
553,17185.5,,,,
552,17181.5,,,,
551,17188.1,,,,
550,17185.9,,,,
549,17188,,,,
548,17185.6,,,,
547,17185.1,,,,
546,17182.2,,,,
545,17181.1,,,,
544,17187.7,,,,
543,17185.6,,,,
542,17184.5,,,,
541,17188.8,,,,
540,17189.8,,,,
539,17186.2,,,,
538,17189,,,,
537,17184,,,,
536,17181.3,,,,
535,17185.2,,,,
534,17186.5,,,,
533,17183.2,,,,
532,17184.3,,,,
531,17184.2,,,,
530,17189.4,,,,
529,17182.4,,,,
528,17185,,,,
527,17183.4,,,,
526,17186,,,,
525,17186.1,,,,
524,17184,,,,
523,17186,,,,
522,17187.7,,,,
521,17185.8,,,,
520,17186.7,,,,
519,17185.8,,,,
518,17188.7,,,,
517,17186.4,,,,
516,17189.4,,,,
515,17186.2,,,,
514,17183.5,,,,
513,17185.1,,,,
512,17184.2,,,,
511,17185.6,,,,
510,17186,,,,
509,17185.3,,,,
508,17185,,,,
507,17189.7,,,,
506,17187.2,,,,
505,17184.3,,,,
504,17185.1,,,,
503,17186.3,,,,
502,17186.3,,,,
501,17185.7,,,,
500,17184.3,,,,
499,17186.8,,,,
498,17187.2,,,,
497,17186,,,,
496,17181.9,,,,
495,17185.6,,,,
494,17188.1,,,,
493,17187.5,,,,
492,17180.9,,,,
491,17184.8,,,,
490,17186.4,,,,
489,17184.9,,,,
488,17183.8,,,,
487,17183.4,,,,
486,17182.7,,,,
485,17180.4,,,,
484,17186.6,,,,
483,17183.1,,,,
482,17186.5,,,,
481,17184.6,,,,
480,17186.7,,,,
479,17186.1,,,,
478,17183.4,,,,
477,17183.9,,,,
476,17185.3,,,,
475,17189.7,,,,
474,17185.4,,,,
473,17192.4,,,,
472,17185.7,,,,
471,17184.8,,,,
470,17184.3,,,,
469,17185.3,,,,
468,17187.4,,,,
467,17184.7,,,,
466,17183.9,,,,
465,17185.9,,,,
464,17189.6,,,,
463,17186.5,,,,
462,17185.1,,,,
461,17188.3,,,,
460,17190.5,,,,
459,17183.1,,,,
458,17187.3,,,,
457,17184.8,,,,
456,17186.7,,,,
455,17187.7,,,,
454,17189.6,,,,
453,17188.8,,,,
452,,,,,
451,17183.5,,,,
450,17184.6,,,,
449,17183.8,,,,
448,17188.3,,,,
447,17187.9,,,,
446,17204.4,,,,
445,17200.7,,,,
444,17199.4,,,,
443,17199.5,,,,
442,17198.8,,,,
441,17200.1,,,,
440,17201.1,,,,
439,17198.5,,,,
438,17202.4,,,,
437,17202,,,,
436,17200.2,,,,
435,17196.4,,,,
434,17202.1,,,,
433,17198.4,,,,
432,17197.1,,,,
431,17198,,,,
430,17198.7,,,,
429,17202.1,,,,
428,17200,,,,
427,17200.4,,,,
426,17196.8,,,,
425,17200.1,,,,
424,17201.8,,,,
423,17199.5,,,,
422,17201.1,,,,
421,17199.2,,,,
420,17197.7,,,,
419,17199.8,,,,
418,17197.9,,,,
417,17199.4,,,,
416,17200.2,,,,
415,17202.4,,,,
414,17198.5,,,,
413,17199.5,,,,
412,17198.5,,,,
411,17200.6,,,,
410,17197.2,,,,
409,17198.9,,,,
408,17200.2,,,,
407,17201.5,,,,
406,17196.8,,,,
405,17202.8,,,,
404,17201.1,,,,
403,17201.8,,,,
402,17197.6,,,,
401,17197.9,,,,
400,17194.2,,,,
399,17195,,,,
398,17197.2,,,,
397,17198.8,,,,
396,17196.2,,,,
395,17194.9,,,,
394,17194.5,,,,
393,17197,,,,
392,17195,,,,
391,17197.6,,,,
390,17196.7,,,,
389,17194.8,,,,
388,17198.4,,,,
387,17196.5,,,,
386,17196,,,,
385,17195.6,,,,
384,17225.5,,,,
383,17195.9,,,,
382,17197.2,,,,
381,17195.9,,,,
380,17195.4,,,,
379,17192.8,,,,
378,17198.7,,,,
377,17197.1,,,,
376,17195.4,,,,
375,17195.7,,,,
374,17197.5,,,,
373,17197.2,,,,
372,17198.2,,,,
371,17195.9,,,,
370,17196.7,,,,
369,17199.5,,,,
368,17197.4,,,,
367,17194.3,,,,
366,17196.1,,,,
365,17194.1,,,,
364,17196,,,,
363,17196.9,,,,
362,17197.1,,,,
361,17192.2,,,,
360,17194.8,,,,
359,17195.7,,,,
358,17198.1,,,,
357,17196.5,,,,
356,17197.5,,,,
355,17196,,,,
354,17195.8,,,,
353,17197,,,,
352,17198.9,,,,
351,17196.5,,,,
350,17195.5,,,,
349,17197.6,,,,
348,17195.5,,,,
347,17197,,,,
346,17197.2,,,,
345,17196.3,,,,
344,17196.9,,,,
343,17197.4,,,,
342,17195.8,,,,
341,17197,,,,
340,17195.7,,,,
339,17196.9,,,,
338,17196.6,,,,
337,17196.9,,,,
336,17196.3,,,,
335,17194.6,,,,
334,17197.2,,,,
333,17195.2,,,,
332,17194.7,,,,
331,17195.4,,,,
330,17195.9,,,,
329,17195.8,,,,
328,17198.2,,,,
327,17195.3,,,,
326,17197.3,,,,
325,17195.8,,,,
324,17194.4,,,,
323,17194.6,,,,
322,17196.3,,,,
321,17194.4,,,,
320,17197.3,,,,
319,17198.4,,,,
318,17195.5,,,,
317,17197.9,,,,
316,17198,,,,
315,17197.5,,,,
314,17198.7,,,,
313,17195,,,,
312,17195.7,,,,
311,17197.6,,,,
310,17196.4,,,,
309,17196.3,,,,
308,17197.1,,,,
307,17177.9,,,,
306,17196,,,,
305,17196.4,,,,
304,17196.2,,,,
303,17196.1,,,,
302,17193.5,,,,
301,17196.4,,,,
300,17198.7,,,,
299,17195.8,,,,
298,17195.8,,,,
297,17198.9,,,,
296,17196,,,,
295,17200.4,,,,
294,17198.5,,,,
293,17194.1,,,,
292,17196.7,,,,
291,17194.2,,,,
290,17196.5,,,,
289,17199.3,,,,
288,17196.8,,,,
287,17196.6,,,,
286,17199.6,,,,
285,17194.9,,,,
284,17195.2,,,,
283,17198.5,,,,
282,17195.7,,,,
281,17196.7,,,,
280,17198.4,,,,
279,17195.4,,,,
278,17196.6,,,,
277,17192.8,,,,
276,17191.3,,,,
275,17195.8,,,,
274,17201.3,,,,
273,17197.8,,,,
272,17199.2,,,,
271,17196.8,,,,
270,17196.2,,,,
269,17196.4,,,,
268,17198.5,,,,
267,17198,,,,
266,17198.2,,,,
265,17198,,,,
264,17195.3,,,,
263,17194.3,,,,
262,17195,,,,
261,17192.9,,,,
260,17194.7,,,,
259,17196.9,,,,
258,17196.3,,,,
257,17198.5,,,,
256,17199,,,,
255,17202.1,,,,
254,17201,,,,
253,17201.4,,,,
252,17198.4,,,,
251,17202.2,,,,
250,17200.7,,,,
249,17201.8,,,,
248,17200.2,,,,
247,17203.2,,,,
246,17202.7,,,,
245,17199.7,,,,
244,17200.3,,,,
243,17204.5,,,,
242,17198.9,,,,
241,17203.6,,,,
240,17197.9,,,,
239,17201.3,,,,
238,17200.3,,,,
237,17203.1,,,,
236,17202.9,,,,
235,17199.6,,,,
234,17200.8,,,,
233,17197.8,,,,
232,17195.5,,,,
231,17201.2,,,,
230,17201.9,,,,
229,17200.2,,,,
228,17201,,,,
227,17200.2,,,,
226,17202.1,,,,
225,17198.3,,,,
224,17199.1,,,,
223,17200,,,,
222,17203.7,,,,
221,17198,,,,
220,17200.6,,,,
219,17198.2,,,,
218,17201.8,,,,
217,17191.7,,,,
216,17236.3,,,,
215,17199.2,,,,
214,17196.7,,,,
213,17196.6,,,,
212,17196.6,,,,
211,17196.6,,,,
210,17196.6,,,,
209,17196.7,,,,
208,17196.8,,,,
207,17196.8,,,,
206,17196.8,,,,
205,17196.6,,,,
204,17196.7,,,,
203,17196.6,,,,
202,17196.9,,,,
201,17196.7,,,,
200,17196.4,,,,
199,17196.6,,,,
198,17196.4,,,,
197,17196.6,,,,
196,17196.6,,,,
195,17196.4,,,,
194,17196.6,,,,
193,17196.4,,,,
192,17196.5,,,,
191,17196.4,,,,
190,17196.5,,,,
189,17196.3,,,,
188,17196.3,,,,
187,17196.3,,,,
186,17196.6,,,,
185,17298.8,,,,
184,17242.7,,,,
183,17200.2,,,,
182,17196.8,,,,
181,17197,,,,
180,17197.1,,,,
179,17198.6,,,,
178,17198.3,,,,
177,17195.3,,,,
176,17195.7,,,,
175,17195.8,,,,
174,17338,,,,
173,17221.9,,,,
172,17207.7,,,,
171,17201,,,,
170,17201,,,,
169,17200.8,,,,
168,17201,,,,
167,17201,,,,
166,17200.8,,,,
165,17201,,,,
164,17201,,,,
163,17201,,,,
162,17201,,,,
161,17200.9,,,,
160,17200.9,,,,
159,17200.9,,,,
158,17201.1,,,,
157,17201.1,,,,
156,17200.8,,,,
155,17200.9,,,,
154,17201,,,,
153,17201.2,,,,
152,17200.9,,,,
151,17201,,,,
150,17200.9,,,,
149,17200.9,,,,
148,17201,,,,
147,17200.9,,,,
146,17200.6,,,,
145,17200.7,,,,
144,17200.7,,,,
143,17200.7,,,,
142,17200.8,,,,
141,17200.8,,,,
140,17200.7,,,,
139,17201,,,,
138,17200.8,,,,
137,17201,,,,
136,17200.8,,,,
135,17200.8,,,,
134,17200.9,,,,
133,17200.6,,,,
132,17200.8,,,,
131,17200.6,,,,
130,17200.6,,,,
129,17200.6,,,,
128,17200.9,,,,
127,17201,,,,
126,17200.9,,,,
125,17201,,,,
124,,,,,
123,17142.8,,,,
122,17200.6,,,,
121,17154,,,,
120,17199.1,,,,
119,17199,,,,
118,17202.4,,,,
117,17200.6,,,,
116,17201.5,,,,
115,17205.2,,,,
114,17218.4,,,,
113,17203.6,,,,
112,17200.6,,,,
111,17205,,,,
110,17202,,,,
109,17204.4,,,,
108,17202.1,,,,
107,17202.8,,,,
106,17204.8,,,,
105,17203.2,,,,
104,17202.8,,,,
103,17201.3,,,,
102,17201.7,,,,
101,17201.1,,,,
100,17201.4,,,,
99,17203.4,,,,
98,17200.2,,,,
97,17195.6,,,,
96,17202.6,,,,
95,17201.9,,,,
94,17202.8,,,,
93,17187.7,,,,
92,17181.3,,,,
91,17188.3,,,,
90,17189.1,,,,
89,17192.3,,,,
88,17190.6,,,,
87,18014.3,,,,
86,18010.5,,,,
85,18004.2,,,,
84,18003.4,,,,
83,18006.2,,,,
82,17998.1,,,,
81,18003.4,,,,
80,17991.6,,,,
79,17995.9,,,,
78,17991.1,,,,
77,17995.5,,,,
76,17995.7,,,,
75,17995,,,,
74,17984.6,,,,
73,17994.8,,,,
72,17994.3,,,,
71,17989.5,,,,
70,17987,,,,
69,17978.6,,,,
68,17976.8,,,,
67,17979.8,,,,
66,14655.4,,,,
65,12502.2,,,,
64,8249.297,,,,
63,8249.2897,,,,
62,8249.2073,,,,
61,8249.2199,,,,
60,8249.2502,,,,
59,8249.1928,,,,
58,8249.1852,,,,
57,8249.1649,,,,
56,8249.1458,,,,
55,8249.1804,,,,
54,8249.17,,,,
53,8251.9666,,,,
52,8245.1686,,,,
51,8252.2259,,,,
50,8277.7294,,,,
49,8260.0697,,,,
48,8248.3516,,,,
47,8247.4945,,,,
46,8243.6616,,,,
45,8277.9476,,,,
44,8250.5297,,,,
43,8249.1793,,,,
42,8244.8782,,,,
41,8246.3449,,,,
40,8254.4874,,,,
39,8248.7356,,,,
38,8255.8262,,,,
37,8249.3695,,,,
36,8244.6038,,,,
35,8248.2241,,,,
34,8252.0402,,,,
33,8249.2733,,,,
32,8254.0293,,,,
31,8246.2101,,,,
30,8251.0549,,,,
29,8249.1961,,,,
28,8250.7162,,,,
27,8249.0494,,,,
26,8252.0577,,,,
25,8255.3013,,,,
24,8250.8401,,,,
23,8253.6704,,,,
22,8245.0325,,,,
21,8246.8424,,,,
20,8248.6686,,,,
19,8248.9771,,,,
18,8252.3644,,,,
17,8252.7221,,,,
16,8248.4965,,,,
15,8248.6329,,,,
14,8248.1577,,,,
13,8248.6769,,,,
12,8242.3818,,,,
11,8249.3139,,,,
10,8249.3023,,,,
9,8249.4093,,,,
8,8249.4643,,,,
7,8248.318,,,,
6,8252.3429,,,,
5,8248.0962,,,,
4,8246.6222,,,,
3,8247.7867,,,,
2,8227.651,,,,
1,8246.565,,,,