x,y_x,y_y
15.0,17.83830665555896,17.363270789940962
15.02,23.25986162478241,18.47018172324981
15.04,21.23833496652332,18.604814282158344
15.06,16.7669361592457,17.644270097539884
15.08,16.9459156920154,17.79911711385062
15.1,18.043671643988468,17.74064176612572
15.12,19.831867668127526,17.165334071263125
15.14,19.252990668172636,17.41558893607457
15.16,17.21896877619075,17.695731883371895
15.18,15.026021937759282,17.465085101240867
15.2,15.043209750415343,16.985236818829847
15.22,17.548969104404414,17.60632702126466
15.24,17.131335194818003,16.765200469996714
15.26,16.821071421192094,16.79523747672805
15.28,16.02242993753438,16.65623304233063
15.3,17.60284612966008,17.09241090166941
15.32,17.206760124185895,17.245987693026372
15.34,17.602195946340075,16.3732074977722
15.36,17.334850902444344,16.057039160891545
15.38,17.16036059864043,17.190632899507666
15.4,17.695080093132848,17.04815917815842
15.42,17.748020677525254,16.9465385968735
15.44,17.91068205950623,16.76312517925337
15.46,13.934477433414026,16.925755779005716
15.48,16.507344133745946,16.39563780471071
15.5,17.68238425224519,16.75171557810726
15.52,16.718378318910187,17.08475156951286
15.54,15.691567114823787,17.353683140987798
15.56,16.87538648111809,16.98978110058884
15.58,15.311637142651477,16.270009786451045
15.6,16.253761978823768,16.283932322587418
15.62,16.353204521417062,16.546175691735407
15.64,16.567624109061338,16.68669352626592
15.66,15.213575697016546,16.16770463941537
15.68,16.018116274881734,16.105852119806784
15.7,17.296810405121605,16.38135809999414
15.72,18.014656391811428,16.67901897297287
15.74,17.5893557851947,16.840179811530316
15.76,16.580649608664064,16.746185005025538
15.78,16.306859266132122,17.190419574293113
15.8,15.858532408144113,16.24047064122229
15.82,15.747951443496245,16.318684453031665
15.84,16.31837855697454,15.289139905215151
15.86,16.07429375408723,14.998068644668392
15.88,17.034891221825045,15.168357439013556
15.9,17.328964284015868,15.451383208403044
15.92,16.65760904696047,16.097106919572415
15.94,15.43902323763865,15.998560166529405
15.96,16.63028832521354,15.338490261424997
15.98,18.184722160618406,15.208699432154798
16.0,16.73186594840102,15.669909914707706
16.02,15.282224154025839,15.660456657002175
16.04,15.890650400451,15.31073169005435
16.06,17.17732139315249,15.581607442432924
16.08,15.470171634337625,15.231618349932944
16.1,14.536652288059042,15.017543547564298
16.12,14.115066479259086,14.835206561063421
16.14,15.86927900793296,15.761139824105706
16.16,17.53251153264115,15.674760934591063
16.18,17.693183277170167,15.401041612258297
16.2,14.539167101482274,16.588945282491323
16.22,14.383900836140349,15.892051307857214
16.24,13.991627426104252,16.118705441688046
16.26,14.760330253966147,16.88162761644812
16.28,15.399773803015467,16.05888584066112
16.3,15.47408941170474,15.180389623569075
16.32,16.59390267872687,14.64227111288623
16.34,14.368087206505452,15.221863095806789
16.36,14.575607666556545,15.294387400108985
16.38,16.064470560578574,15.246591263634947
16.4,14.619580202456653,15.849431401337661
16.42,13.972006152575208,15.69341867763074
16.44,14.256882218246156,15.235818190485311
16.46,16.20755266441999,14.88243557258671
16.48,16.035100219627616,14.842233538653206
16.5,15.159250753223938,14.690045821518426
16.52,15.606408223249936,14.538760539939648
16.54,16.320972606639028,14.771052986736546
16.56,14.985707871950853,15.215775551567017
16.58,14.633142382843277,13.888348370051018
16.6,14.315572670524576,14.363688878296813
16.62,13.588136898912662,15.146446119882189
16.64,13.606444034186167,14.50407885422072
16.66,14.418397225311892,14.526767559542863
16.68,15.086728407240631,13.884490352260318
16.7,15.170050058619147,13.412382400606639
16.72,14.003761351859238,13.283742448246032
16.74,14.904581735242505,13.828166675367095
16.76,15.931739748993737,14.166301410580905
16.78,16.066100002385845,14.480911833338759
16.8,15.507672300811322,14.183022051117291
16.82,14.432869006690797,14.40599067252828
16.84,14.826453442324818,14.518161504047871
16.86,15.199668419371273,14.449229128746593
16.88,15.38167365743299,14.123741464485917
16.9,15.66662927975301,13.686871251374408
16.92,14.05762433049787,13.80527544577028
16.94,14.817319751143348,13.503597621626355
16.96,14.94100234850639,13.979244533477427
16.98,14.664956933523214,14.043524417852256
17.0,13.820250525060583,14.313787471853896
17.02,14.866425172090048,14.919442900903707
17.04,14.997454712421487,15.17204709588776
17.06,14.455969404769053,14.928817933567915
17.08,14.544330561622644,13.455498964709724
17.1,13.883747189067119,13.560555991725167
17.12,14.001486540822388,13.869264148719186
17.14,13.966039130426743,13.730958064078374
17.16,14.910633479677058,13.667886766385843
17.18,14.25857514513149,13.3213363323139
17.2,14.115953897088815,13.976004097830103
17.22,14.130911838329896,13.786897507449686
17.24,13.680386361617906,13.845757261789224
17.26,13.88536263304557,13.761962164467784
17.28,13.283150292833396,14.282115793813276
17.3,13.734085266337736,14.199076360549075
17.32,13.860157531194346,14.164663711448103
17.34,13.9660360712963,14.695548819856835
17.36,12.798128014977596,13.694173379415249
17.38,13.558105070157545,13.039383643740614
17.4,13.617478101239781,13.544486416278177
17.42,13.842353318567849,14.378372787449765
17.44,13.269144013317865,13.7125813707253
17.46,12.93213390376748,13.499298735763961
17.48,13.381059387805532,13.981599829688472
17.5,13.544122119292766,14.756283784843783
17.52,14.790836613354609,14.033290678444613
17.54,13.51964561730211,13.660726583963797
17.56,12.908611874843926,14.02441123303199
17.58,13.203707822334046,14.275029278412227
17.6,13.685456469323412,14.147841533667927
17.62,13.177845189865515,13.633014299013237
17.64,13.53174512614042,13.28068264038421
17.66,13.782093951119027,14.106093625428993
17.68,14.256698709452621,14.228280942309164
17.7,14.06967670211499,13.890994065036997
17.72,14.383931991413341,13.70129769176482
17.74,14.01431517120367,13.609811152699251
17.76,13.232630039110155,12.740816173426357
17.78,13.824357692995616,12.431265714185962
17.8,14.840784808859665,12.093912803349742
17.82,13.799672152407858,12.390604238048208
17.84,12.348973619871192,13.506430067202224
17.86,12.480152230433205,14.197587154999349
17.88,13.178211503813488,13.2806930262263
17.9,13.151848053888305,12.938070066683085
17.92,13.298071845293146,13.073558601450756
17.94,13.547619723279018,13.678264674365328
17.96,13.992292955641108,12.874768572776684
17.98,13.75353392654377,12.791183127368708
18.0,13.527043912511942,13.166430347955078
18.02,13.35540211565039,13.483224474346859
18.04,13.743683586580758,13.069128408239285
18.06,13.619788186039473,12.48203089425871
18.08,13.696210884354729,12.414351616002842
18.1,12.63634671530654,13.184717083469886
18.12,12.94285652091847,12.858218586264233
18.14,13.261765709534032,13.945940966233383
18.16,13.743231057972258,13.70915537789846
18.18,14.338639660256176,13.016731119573338
18.2,13.859637684610536,12.55067525891975
18.22,13.155893366085703,13.166309601762649
18.24,13.611512543698478,13.024974985116796
18.26,12.501990248670397,13.050158807270948
18.28,13.551944020057542,12.84365914865733
18.3,13.452822615078588,13.38646588637839
18.32,11.92466897325287,13.446667491256747
18.34,12.471793446484096,13.505928137427224
18.36,13.207686355337483,12.896670207281067
18.38,12.69165418565807,12.582245134614867
18.4,13.29853717655781,12.796243721679502
18.42,13.430837508599831,13.181435275277856
18.44,13.73105436004821,12.949007688374929
18.46,14.368385344398082,13.01729839074647
18.48,13.688612980797773,12.686501841141641
18.5,13.35030892969763,13.508984400187163
18.52,13.474571622908874,13.795435613581105
18.54,12.39135655897842,13.336692110541673
18.56,12.001188304099694,13.177627524409896
18.58,12.230086485353722,12.629416915403933
18.6,13.336143634965262,12.5526405117715
18.62,12.937815919127058,12.180932906356293
18.64,13.431898496897816,12.702489548922005
18.66,14.042038125920303,12.899381181472055
18.68,14.044890418482588,12.660772722715262
18.7,13.050529204461203,13.10316117126022
18.72,12.815197126619713,13.135858713352055
18.74,13.193316394975602,12.880677621932596
18.76,12.808583530280654,11.97909391374339
18.78,12.979766047902086,12.43282018949278
18.8,13.003624563028442,12.795032595246322
18.82,13.069265182963608,13.114905739333668
18.84,12.02886544652848,12.867871541648881
18.86,12.49469593324497,13.059591123871263
18.88,12.892170280351849,12.350165708502875
18.9,13.80420148552037,12.649159646873334
18.92,13.6976115840238,12.979279148780094
18.94,13.126147205346768,12.89481578051025
18.96,13.403802228673422,13.397440756285478
18.98,12.927394613967866,13.450056034988064
19.0,13.886931778180035,12.12918934842092
19.02,13.683227144689727,12.692787987756148
19.04,13.599452898099356,12.325421545593292
19.06,12.906388370811262,12.253909922243983
19.08,12.777669758683306,12.755578036232759
19.1,12.886491757664214,12.770392090715818
19.12,13.417527103312855,13.029800589831982
19.14,13.307180026715248,13.75140049832253
19.16,13.597720854205633,13.552500475703319
19.18,14.074417012420641,13.25500180155702
19.2,13.398802668286647,13.453771447776187
19.22,13.191820861300291,12.357409242804852
19.24,12.33007106886989,12.789714280415193
19.26,12.216900650138236,13.175270092400508
19.28,12.226587162898086,13.413331790888186
19.3,13.231183530427618,13.549032622874439
19.32,13.236430271389057,13.097748142451858
19.34,13.900042902467174,13.328374185713423
19.36,13.822731277442958,13.14459781277969
19.38,13.93094836600131,13.584948631802877
19.4,13.753874030170737,12.42276436786497
19.42,13.777913256484174,12.418221184378273
19.44,13.228763165304871,13.408806763028275
19.46,12.939087005670219,13.496792399420945
19.48,12.267811685661767,12.969278244338877
19.5,13.781356822414203,12.71187964439738
19.52,13.297600518337868,13.035542519259026
19.54,11.71313359806166,12.628842532135609
19.56,12.500396529561684,12.840511445240145
19.58,13.368408668667433,13.157232726075904
19.6,14.178854490476619,13.162903619470235
19.62,13.087913978798461,12.83406703671034
19.64,13.538964940441272,12.433188395416378
19.66,13.54652803323424,12.86359141724328
19.68,13.043288494911737,12.911321305855102
19.7,13.136222477728884,13.053762553859558
19.72,12.976040753316,13.44208865373216
19.74,13.174612540939837,12.758866787351995
19.76,13.786902912028886,13.168869983930202
19.78,14.632400258521113,13.060701473722311
19.8,14.226366533896206,12.733793735650913
19.82,13.569041113084111,12.91887914685597
19.84,13.67501224998626,13.171507580093442
19.86,13.700730392605394,12.938255534006352
19.88,13.695562357409637,12.954929273105284
19.9,13.765396655394454,12.927211824702269
19.92,13.95356350787422,13.25723718036422
19.94,13.704150978530192,13.166505728425335
19.96,14.123976211774652,12.995847086661296
19.98,14.351870181140791,13.17544137390618
20.0,14.15401434324654,13.002271060255689
20.02,14.454176049090663,12.775250038224263
20.04,14.302332181851115,13.05087920390271
20.06,13.949308126938543,13.735846001135267
20.08,13.228691780183143,13.479491298861817
20.1,13.600643811741543,12.967520669515991
20.12,13.449513811618456,13.29540965760476
20.14,12.815715803703538,13.573589105637977
20.16,13.38385648395199,13.45475545467615
20.18,12.69640468963382,13.284797167003138
20.2,13.988083141304642,12.992939031386229
20.22,13.538049744361677,12.859201664928387
20.24,12.793049939599781,13.43551124522176
20.26,13.056084491320473,12.984023940883864
20.28,12.79358987499278,12.461680803495799
20.3,12.864696590020717,12.51989589913764
20.32,13.015955136051206,13.218863999886056
20.34,12.50908548744616,13.391081082288022
20.36,13.041397688700489,13.107578117856258
20.38,13.460205544956025,13.24250947479282
20.4,13.423552901871641,12.414210619209559
20.42,13.2139050861796,12.251509275567741
20.44,13.077853492818948,13.194086047870039
20.46,13.245454976873415,12.653327759073639
20.48,13.45518490131298,12.67293664759904
20.5,12.922254035081005,12.878257078520644
20.52,12.720550956690413,12.830082946290485
20.54,12.707543192927773,12.361948267582282
20.56,12.615824532407018,12.497476184513795
20.58,12.942559718841087,12.825769113522584
20.6,13.487973829619873,12.560212934036388
20.62,13.73128470581389,12.20555028642434
20.64,13.001741966927945,13.114535989158211
20.66,13.327797187836628,12.942422790776495
20.68,13.545160787367285,12.687906998724559
20.7,13.909601917680286,12.861495588786712
20.72,13.335180153927949,13.335248033493322
20.74,13.642624565960567,13.26186941210332
20.76,13.688358318550131,13.276838591964315
20.78,12.823458473958512,13.436729746271858
20.8,12.786825816376938,13.374268442962151
20.82,13.17214018618144,13.632139533340998
20.84,13.189043291472267,12.91589957850966
20.86,12.285795737601784,13.004848464906756
20.88,12.213489609912092,12.839824187171512
20.9,12.413015716144292,12.893542539396602
20.92,12.168435162889557,13.00572894162413
20.94,12.07097711599962,13.105400340433752
20.96,13.113140838348635,13.198901504297083
20.98,12.364058305884875,12.981789821847807
21.0,12.574747176923047,12.325803681460032
21.02,13.250508562047061,12.628368872360662
21.04,13.030363687284316,13.264648114600185
21.06,12.935767794788372,13.25005186224642
21.08,12.884780002892652,12.619577989539682
21.1,13.068593393765195,12.611308007319806
21.12,12.595664491734333,11.870905707544132
21.14,12.228440854188591,13.00948602563335
21.16,12.240023144438453,13.059125098889748
21.18,13.064211605912083,12.277030207823026
21.2,12.679079717371577,12.42619104477
21.22,12.47559202260251,12.009363034108555
21.24,12.475082388572664,12.705217711392619
21.26,12.919324718735032,13.357926782897646
21.28,13.201620642871243,13.229490668760363
21.3,13.856838602318978,12.655324219390154
21.32,13.277795350384835,12.40402963444601
21.34,13.162643152501772,11.876244632741658
21.36,12.659138002781745,12.678540432405917
21.38,12.526636777672067,12.882469391016278
21.4,12.195266999285309,12.35588457554058
21.42,12.46916140492752,11.51482612899317
21.44,12.317053521457277,12.881047390528156
21.46,12.709834896784864,13.247950005701195
21.48,13.17896500902155,12.616716073173192
21.5,12.833434290245235,12.35050617413908
21.52,12.443753253501857,12.02480387473411
21.54,12.216046521688554,11.935757420683661
21.56,12.452325946890051,12.607387774409789
21.58,12.170835831239094,12.800222935129776
21.6,12.390691517197256,12.18002007950468
21.62,12.599884700543788,12.583664068898175
21.64,12.341636354163402,12.08794373243856
21.66,12.741665960998388,12.170839503736245
21.68,13.060256689463545,12.457193313220973
21.7,12.443420630971602,11.718534782287934
21.72,12.314972879166277,12.212164185728183
21.74,12.206705473703522,12.777639231601814
21.76,11.415877621999048,11.614000260427463
21.78,11.542280099364474,11.597924934981082
21.8,12.20495512575989,11.764817524408812
21.82,12.032574384096936,11.935868033604722
21.84,12.503168780113546,12.065674276128517
21.86,12.730524257523221,12.266739842752127
21.88,12.052801815573307,12.183139031101359
21.9,12.027759890348344,12.371748024250126
21.92,11.889148212277373,12.448819536490467
21.94,11.82858344198959,12.438948108500734
21.96,11.251154490042643,12.500734835208045
21.98,11.751395708159153,11.727077183215735
22.0,12.333506547170588,11.553557877375276
22.02,12.428116067575434,11.771736170246124
22.04,11.597659150477183,12.00606177162465
22.06,11.424862723084514,12.259250906302652
22.08,11.800673761380006,11.711147639595064
22.1,12.426782802960586,11.68813195396403
22.12,12.310530776866036,12.163417840768536
22.14,12.313931821518137,12.93286956656148
22.16,11.906626080801793,12.721648767774825
22.18,11.927252752039722,12.589926385009854
22.2,11.917696227988548,12.394831194566434
22.22,11.811608512215608,11.9527635982118
22.24,11.763166820242306,12.05812193923203
22.26,11.797343873325977,12.14979153009187
22.28,12.190753894407207,11.697645918159061
22.3,12.136201703604412,12.310761969367894
22.32,11.963203257505036,12.110549550276325
22.34,12.159630148481119,11.946813210086802
22.36,11.647010238240629,12.319658459764995
22.38,12.252759058381205,11.698907199375359
22.4,11.858350737759748,12.042953761222982
22.42,12.147027416485582,11.882161662577548
22.44,12.014755243017015,11.872273019313711
22.46,11.757452417336765,12.118678704830046
22.48,12.14265291376311,12.264142291558445
22.5,12.396995121836346,11.888425073034371
22.52,12.539463184144985,11.471090351571988
22.54,12.036290909347889,11.718327633011056
22.56,12.251396484542754,12.111990535642818
22.58,12.6241075655147,12.588671597617552
22.6,11.879924716420968,12.068168433108669
22.62,11.982288609837187,11.901885357492443
22.64,12.401557187884332,12.355535431384519
22.66,11.536900672550448,12.10328420237059
22.68,11.11528622994525,12.190515021458204
22.7,11.936748120760814,12.481959356247454
22.72,11.778110590144305,12.131601521310126
22.74,11.75307537405375,11.736894100895022
22.76,11.297387602604077,12.071586548306476
22.78,11.566550036035597,11.7204697312779
22.8,12.306899270314569,11.51672921877767
22.82,12.492948108122935,12.008687770529411
22.84,12.45445266692816,12.143246376475053
22.86,12.02821463029352,11.75511791759529
22.88,11.709627044154079,11.337728481950881
22.9,11.938734115733038,11.939504110605835
22.92,11.286183228436736,12.314957126874882
22.94,11.057008410070884,12.010243672926777
22.96,11.667950150389801,12.180700367862952
22.98,11.49663206531763,12.551009036023165
23.0,11.117753913865284,11.754263929461176
23.02,11.559460571407575,12.016597573270245
23.04,11.860756687332941,11.982177135208104
23.06,11.934064752349222,11.727985629535063
23.08,11.535840069708044,11.439600115219548
23.1,11.449595459197033,11.349173663268441
23.12,10.959498048911914,12.134391213890174
23.14,10.905544671475376,11.646504030946836
23.16,11.069424303670926,12.272522100229896
23.18,11.386265647408957,12.046967954846489
23.2,11.14448124236596,12.080163478142502
23.22,11.149793583555331,11.849300316211385
23.24,11.412999198979065,12.010483751257398
23.26,12.053430719466828,12.04662774991157
23.28,11.84543619819069,11.967948256587412
23.3,10.93032625893203,11.707195306980456
23.32,11.4125724494179,11.59199869982644
23.34,11.597923268228621,12.07371199277001
23.36,11.659938938225489,11.894391743867828
23.38,11.743425683634474,11.60780730255692
23.4,11.503435130236298,11.817711314180405
23.42,11.65203520204247,11.80760239513687
23.44,11.24146398445236,11.931637569370562
23.46,11.373363412424645,11.502536416684446
23.48,11.14121090148358,11.885413900038557
23.5,10.776677619121457,11.432824032250432
23.52,10.730131204135837,11.616252225305917
23.54,11.534658675620237,11.920726304326017
23.56,12.151097882214549,11.932180772907742
23.58,11.800423145871173,12.037445260683914
23.6,10.945266610267389,12.25316804828378
23.62,11.922976785278639,12.108965758836185
23.64,12.144511239935538,12.092972493874333
23.66,11.717049058451176,11.549694061484187
23.68,10.948486146922415,12.351574415778183
23.7,10.658489347061797,11.8447210584223
23.72,10.818589182631328,11.887217960192755
23.74,11.006178420358571,11.272805032061022
23.76,11.062721088671047,11.644202628474819
23.78,11.370226938130843,11.749687079942433
23.8,11.77446436253781,11.903147968775603
23.82,12.182036570734791,12.331385193147987
23.84,11.985700769903971,11.710774960712923
23.86,11.456794808464998,11.25690677807629
23.88,11.196138032418487,12.064078968564486
23.9,10.564360013093228,11.905160202573061
23.92,11.029137741343813,12.166288182264902
23.94,10.807589522308811,11.991636647969624
23.96,10.640644814895676,12.106620636406358
23.98,10.663378295956852,12.363575387770009
24.0,10.950022364190866,12.095839428782359
24.02,10.773668253885885,12.315378572033946
24.04,11.664017021495185,12.134600206706185
24.06,11.390307933527698,12.074134896939919
24.08,10.650247251627855,11.941253891347767
24.1,10.714996672369585,12.067982832737972
24.12,11.309957532560059,11.581066201562836
24.14,11.956717962574794,11.759120354551579
24.16,12.348589626922223,11.135064098716553
24.18,11.975386392094624,11.279796669676942
24.2,11.37045655857109,11.726213289093984
24.22,10.946267685109506,11.491721168897575
24.24,10.85244871533166,11.592635591533902
24.26,10.867131899099817,11.743522519090115
24.28,11.073083973319003,11.380830258558994
24.3,11.33187733129649,11.112365944701788
24.32,11.553405914597716,11.640337316204313
24.34,11.227888434479986,11.127386534015194
24.36,10.667496015689302,11.445325712136563
24.38,10.376238847964284,11.140994592803388
24.4,10.98537238286075,10.705007344976602
24.42,11.394672413180265,11.067234378583908
24.44,11.317010979693634,11.448195868426094
24.46,11.110044992669048,10.854279705877442
24.48,11.304195967259172,11.633203446199916
24.5,12.184162323531643,12.17212088035076
24.52,11.343103540672521,12.089543805620917
24.54,10.476610913803956,12.543218423092931
24.56,10.83935317029311,11.979724333422284
24.58,11.146364336499264,11.362341287690342
24.6,10.996231946205667,10.849970010069496
24.62,10.75252545297916,11.325613226927087
24.64,11.521996442364909,11.50441527746831
24.66,12.102213732326014,11.24629361866051
24.68,11.270254738876924,11.657235171118279
24.7,11.466277898387437,11.243159692306703
24.72,11.605408778766256,10.138509313436636
24.74,11.997056320586728,10.59318788995167
24.76,11.60760482959325,11.203751126677888
24.78,11.149213664926581,11.874929216644484
24.8,11.010972084270053,12.02765573254714
24.82,11.686311075548279,11.847780217439034
24.84,11.554503769760846,11.532902577884663
24.86,11.463861459013339,11.417293173008515
24.88,11.73953260418033,10.902182196870973
